Feature,Importance
SpMax_A,0.012578694837805802
SpMAD_A,0.00839864024933282
VR1_A,0.00010134178870694543
nSpiro,0.0018731749885878986
nBridgehead,0.000829585451040568
AATS7dv,0.03926131501932765
AATS8dv,0.0075687056738259345
AATS7d,0.006686655316792855
AATS8d,0.0013729700142645397
AATS0s,0.01656931321195508
AATS4s,0.008094827641123436
AATS5s,0.01536705624882018
AATS6s,0.0271112345695792
AATS7s,0.005843746513319678
AATS8s,0.0026555214786656285
ATSC1dv,0.009956580095196179
ATSC2dv,0.022166030685903518
ATSC3dv,0.011379119145241019
ATSC4dv,0.03740511545354188
ATSC5dv,0.02353675675152406
ATSC6dv,0.0052973740095553085
ATSC7dv,0.00512748682693997
ATSC8dv,0.012274451105754838
ATSC1d,0.00129416822126156
ATSC2d,0.019990416927570444
ATSC3d,0.004219424955625334
ATSC4d,0.030048168598151
ATSC7d,0.002690614185614065
ATSC0s,0.0020347615568828983
ATSC1s,0.008354980381638554
ATSC2s,0.01455869399169473
ATSC3s,0.0019728266157596473
ATSC4s,0.001387660281681314
ATSC5s,0.004453467685032404
ATSC6s,0.010830417180585163
ATSC7s,0.013960225984036886
ATSC8s,0.006538690746232766
ATSC2Z,0.010540682797169833
ATSC3Z,0.007843744096132855
ATSC4Z,0.021669214627978075
ATSC5Z,0.011334699021567446
ATSC6Z,0.012031521259421064
ATSC7Z,0.005538847592523524
ATSC8Z,0.0044573993178755374
AATSC1dv,0.01657300569632081
AATSC2dv,0.03393099545578548
AATSC3dv,0.006119923683385484
AATSC4dv,0.026701051206295977
AATSC5dv,0.021945053205906756
AATSC6dv,0.019786580969042195
AATSC7dv,0.00785039971774386
AATSC8dv,0.001297292885271017
AATSC0d,0.004404247456194072
AATSC1d,0.024091210865497932
AATSC5d,0.02419236715484608
AATSC0s,0.02543091326097113
AATSC5s,0.0010300634614913218
AATSC6s,0.00673046232538724
AATSC7s,0.008039321119807288
AATSC8s,0.0006209532911741383
AATSC0Z,0.009478663869935419
AATSC1Z,0.008478366581808248
AATSC2Z,0.004867568548536913
AATSC3Z,0.014386148998542651
AATSC4Z,0.010751312086007152
AATSC5Z,0.0007640308101889238
AATSC6Z,0.003379758046853003
AATSC7Z,0.016360184495915
AATSC8Z,0.003491114471488304
MATS1c,0.05098791927903808
MATS2c,0.04180013421143366
MATS3c,0.023159661286332178
MATS4c,0.035261656484339175
MATS8c,0.006070646580498347
MATS1dv,0.03936072491761306
MATS1d,0.034428796364769546
MATS2d,0.038199548672387784
MATS3d,0.01713612388283574
MATS4d,0.00973218048076839
MATS6d,0.003974205858148137
MATS7d,0.005294834514611563
MATS8d,0.004991462758242759
MATS1s,0.02314771571092562
MATS3s,0.008236366471910396
MATS4s,0.013849613765165665
GATS1c,0.03075828954730159
GATS2c,0.01308050964708887
GATS5c,0.008152454934925833
GATS6c,0.015905006328874007
GATS7c,0.01149085973353709
GATS8c,0.0017987308364669692
GATS2dv,0.01872460887163974
GATS3dv,0.012127874929277761
GATS4dv,0.05282939084302647
GATS5dv,0.028363896877540117
GATS6dv,0.02436760173461128
GATS8dv,0.00786004637104113
GATS1d,0.00683471125778344
GATS3d,0.029828651860869415
GATS4d,0.010546351026785937
GATS1s,0.002847443241146738
GATS2s,0.019934808745384724
BCUTdv-1h,0.04847042421321582
BCUTdv-1l,0.02936531152560756
BCUTd-1h,0.023333299694399328
BCUTd-1l,0.011256879369914064
BCUTs-1h,0.007293479350692228
BCUTs-1l,0.024480320351926897
BCUTZ-1l,0.005500570075397125
BCUTm-1l,0.001281193388541624
BalabanJ,0.0052558380632168385
C1SP1,0.005585476860800697
C1SP2,0.004275615204690754
C1SP3,0.02233579092383277
C2SP3,0.011401294208610573
C3SP3,0.044952768540797675
C4SP3,0.019897131594781462
HybRatio,0.11433458660714589
Xch-4d,0.029213993406605923
Xch-5d,0.022946963348922676
Xch-6d,0.050351904901834776
Xch-7d,0.007962039642311536
Xc-3d,0.009548771010359084
Xc-5d,0.016896824730140016
