Feature,Importance
zero_neu,0.002183759461367683
Length,0.0038442511572255723
Width,0.0010975201943955802
Height,0.0015257301645722604
Radius_1,0.0010565441605670807
ODI,0.052208325623816956
HOMO energy,0.4316298877957672
unsat,0.014817474895877644
double,0.030904572276495117
triple,0.0002460070177195571
ring_num,0.005414369880882734
SpMax_A,0.013202088661900908
SpMAD_A,0.02052356631497593
VR1_A,0.0011935478008239658
nSpiro,0.0004402365019786626
nBridgehead,0.0012975810014015869
AATS7dv,0.021205294492951055
AATS8dv,0.0030753127458817476
AATS7d,0.0028988617712828618
AATS8d,0.0014600567321465072
AATS0s,0.0004316683968804342
AATS4s,0.023917486243649377
AATS5s,0.015655357909916616
AATS6s,0.02149958748777577
AATS7s,0.004710548544303253
AATS8s,0.008073057720370282
ATSC1dv,0.004767371230091894
ATSC2dv,0.0035882790997652184
ATSC3dv,0.014688772391063936
ATSC4dv,0.018980311917436543
ATSC5dv,0.0016572003908085766
ATSC6dv,0.0003625480340788922
ATSC7dv,0.004097976492987477
ATSC8dv,0.0013357619007454545
ATSC1d,0.006659944594794591
ATSC2d,0.0005880522200300489
ATSC3d,0.011870339068750861
ATSC4d,0.0076893861256434595
ATSC7d,0.007379501322103821
ATSC0s,0.007291682339499955
ATSC1s,0.005746696009706427
ATSC2s,0.0016061882701183224
ATSC3s,0.010933069953491196
ATSC4s,0.002224363400133455
ATSC5s,0.000539850466784554
ATSC6s,0.002535415524298774
ATSC7s,0.0052747889646120386
ATSC8s,0.0012519449460272817
ATSC2Z,0.0015052716932542978
ATSC3Z,0.0006592212676906372
ATSC4Z,0.014312019409455133
ATSC5Z,0.0028997260377413374
ATSC6Z,0.011326937350750053
ATSC7Z,0.008917098349119608
ATSC8Z,0.0028035299441105566
AATSC1dv,0.015030898975209452
AATSC2dv,0.03861468828482785
AATSC3dv,0.024331391491202982
AATSC4dv,0.007180582019692265
AATSC5dv,0.01985326185446632
AATSC6dv,0.00025313934311763233
AATSC7dv,0.013403906932969605
AATSC8dv,0.0009844808998097155
AATSC0d,0.010846049242276374
AATSC1d,0.004088966721268667
AATSC5d,0.004265359634585973
AATSC0s,0.0037773646172547335
AATSC5s,0.0017770606968256298
AATSC6s,0.004240537423489355
AATSC7s,0.002774078885560916
AATSC8s,0.003554945979018635
AATSC0Z,0.0068388704278752885
AATSC1Z,0.005538119176235924
AATSC2Z,0.0031031711551410507
AATSC3Z,0.005264194141694937
AATSC4Z,0.014017621714594112
AATSC5Z,0.003554918271617717
AATSC6Z,0.00662656940009859
AATSC7Z,0.012802853038580657
AATSC8Z,0.009427644247833778
MATS1c,0.01627701934870848
MATS2c,0.019641714846862897
MATS3c,0.01251824976816244
MATS4c,0.011107617238911394
MATS8c,0.00937090876510989
MATS1dv,0.004670326305260856
MATS1d,0.024938856902789967
MATS2d,0.007967651526893393
MATS3d,0.007653518527728248
MATS4d,0.013428153340627701
MATS6d,0.008776827524035519
MATS7d,0.005338557277968145
MATS8d,0.00380154710438704
MATS1s,0.0061285843990987274
MATS3s,0.0050374682604493095
MATS4s,0.00039881747287332745
GATS1c,0.03662924380156561
GATS2c,0.021415503312319135
GATS5c,0.01130422532593919
GATS6c,0.01673756690817644
GATS7c,0.012069072566088367
GATS8c,0.0013063074274995289
GATS2dv,0.04127698156689223
GATS3dv,0.01831330469761877
GATS4dv,0.014541162988985938
GATS5dv,0.006292825564782291
GATS6dv,0.004966563358023885
GATS8dv,0.006292027732275312
GATS1d,0.0019864913205646755
GATS3d,0.003067243235201392
GATS4d,0.01623825324892946
GATS1s,0.03082153624372518
GATS2s,0.01690115230113931
BCUTdv-1h,0.019187348967028617
BCUTdv-1l,0.008140147262949236
BCUTd-1h,0.0016347062658986773
BCUTd-1l,0.02855170973610744
BCUTs-1h,0.01052135091972584
BCUTs-1l,0.011984697795443597
BCUTZ-1l,0.0020203849010473254
BCUTm-1l,0.002222914910952023
BalabanJ,0.0019414552477451284
C1SP1,0.004755055643725727
C1SP2,0.006129059018862717
C1SP3,0.0008902170560803324
C2SP3,0.008256786281083367
C3SP3,0.017240630078761653
C4SP3,0.008827565990300492
HybRatio,0.011522415756996335
Xch-4d,0.027151115035015133
Xch-5d,0.010180304598399236
Xch-6d,0.022206516519076923
Xch-7d,0.010875340140515511
Xc-3d,0.001436728754634039
Xc-5d,0.020700903039959792
Xpc-4dv,0.0019026924503464206
NdsCH,0.036167358509384254
NddC,0.00034711160661469944
NdssC,0.01488091729125461
NaasC,0.006997867727117592
NaaaC,0.006411821853397802
SssssC,0.009690444133516824
MAXsCH3,0.0006444076471654318
MAXssCH2,0.006447350768429954
MINsCH3,0.007212029226975905
MINssCH2,0.008793791137360667
ETA_shape_p,0.004341257984573664
ETA_shape_y,0.014073046634097619
AETA_eta,0.01342563254728178
ETA_eta_B,0.0028546017334833878
IC1,0.01648385501450837
IC2,0.007035950225737785
IC3,0.0039904190552451655
TIC1,0.01540858802544854
SIC1,0.01614377398628981
SIC2,0.007382797508647073
SIC3,0.003527712836092074
MIC0,0.008072127750759606
MIC2,0.016291267505589596
Kier1,0.005739769060533699
Kier3,0.0015616531466121633
PEOE_VSA5,0.005602448811245309
PEOE_VSA7,0.0016650193123797271
PEOE_VSA8,0.004213362289879508
PEOE_VSA9,0.0010854034830832411
SMR_VSA4,0.010616519602139537
SMR_VSA9,0.004363407084742902
SlogP_VSA1,0.001389739532480539
SlogP_VSA2,0.0014401624739938887
SlogP_VSA3,0.003130743295642831
SlogP_VSA4,0.006090144930395986
SlogP_VSA7,0.00010234118977629537
