Feature,Importance
zero_neu,0.007664607911636392
Length,0.0009039968480197793
Width,0.0006519141441241125
Height,0.0014229277928365926
Radius_1,0.00573337366550276
ODI,0.050043805692053904
HOMO energy,0.44391171656799994
unsat,0.007552089503443642
double,0.028386882557545127
triple,0.0026267524832743663
ring_num,0.006986228324672932
SpMax_A,0.0023330766836155703
SpMAD_A,0.021903044571969628
VR1_A,0.00023019337120030922
nSpiro,0.005439846054413082
nBridgehead,0.0007849416905780963
AATS7dv,0.027198327131970255
AATS8dv,0.001560113714397197
AATS7d,0.0003442405862128441
AATS8d,0.003853236179577758
AATS0s,0.009247827651368683
AATS4s,0.017242083963715838
AATS5s,0.008273890137735664
AATS6s,0.019826167983458237
AATS7s,0.006517465144746579
AATS8s,0.0028514585924922947
ATSC1dv,0.0029546036705021257
ATSC2dv,0.0016254083951824983
ATSC3dv,0.012031764111159105
ATSC4dv,0.01395375073560315
ATSC5dv,0.007138997162706756
ATSC6dv,0.001722731903490375
ATSC7dv,0.003814221277198806
ATSC8dv,0.00044656574948355037
ATSC1d,0.007316845992898354
ATSC2d,0.004382660402568627
ATSC3d,0.017471344184460745
ATSC4d,0.01150368685755213
ATSC7d,0.011522262014947708
ATSC0s,0.004341019547910157
ATSC1s,0.005358377792117752
ATSC2s,0.0016867431593699188
ATSC3s,0.013262269750839793
ATSC4s,0.0036692963107052127
ATSC5s,0.00409549957764234
ATSC6s,0.005042629870274816
ATSC7s,0.002957930807913884
ATSC8s,0.0016453119956384161
ATSC2Z,0.010270344330164998
ATSC3Z,0.0012937797961348838
ATSC4Z,0.019441954940533423
ATSC5Z,0.00761634100409263
ATSC6Z,0.011201870724359008
ATSC7Z,0.003754465232038717
ATSC8Z,0.006699663483019832
AATSC1dv,0.022020689111980886
AATSC2dv,0.0351237160595776
AATSC3dv,0.011980732157425743
AATSC4dv,0.009494805194064633
AATSC5dv,0.0170772617876204
AATSC6dv,0.0034048630611280546
AATSC7dv,0.0038996311379489246
AATSC8dv,0.005537883339746467
AATSC0d,0.009670670966077984
AATSC1d,0.006223661565679619
AATSC5d,0.014975040721243957
AATSC0s,0.011040724754772652
AATSC5s,0.0034059052535619447
AATSC6s,0.005381896867180353
AATSC7s,0.0024701080176766504
AATSC8s,0.004516401641561675
AATSC0Z,0.0030321677381872428
AATSC1Z,0.011258404492463523
AATSC2Z,0.008529593065176262
AATSC3Z,0.013961594754541517
AATSC4Z,0.013626045270455928
AATSC5Z,0.004993125751819243
AATSC6Z,0.007001904639788458
AATSC7Z,0.008170097982649586
AATSC8Z,0.00842738474260119
MATS1c,0.0193450822165524
MATS2c,0.019666560826885088
MATS3c,0.005896067395292318
MATS4c,0.009352647795710349
MATS8c,0.006094193077748039
MATS1dv,0.00926636737310315
MATS1d,0.033090584683991835
MATS2d,0.005137015347570943
MATS3d,0.008503037143273846
MATS4d,0.017054164072579116
MATS6d,0.007850028814367676
