Feature,Importance
SpMax_A,0.006967748151603357
SpMAD_A,0.003923269002291589
VR1_A,0.0003770016081791119
nSpiro,0.0025018726781679645
nBridgehead,0.002167562864822974
AATS7dv,0.014446780539553235
AATS8dv,0.0032649064503559332
AATS7d,0.008435147554500807
AATS8d,0.005268348698972068
AATS0s,0.0016482428702279171
AATS4s,0.01008217736145211
AATS5s,0.008592505656557234
AATS6s,0.015894018480247425
AATS7s,0.014315259530066597
AATS8s,0.004495667282666013
ATSC1dv,0.014573705574583873
ATSC2dv,0.00798635117969096
ATSC3dv,0.004213463861489814
ATSC4dv,0.01140078477786536
ATSC5dv,0.008062394962172726
ATSC6dv,0.004399072672868946
ATSC7dv,0.0016621309124072992
ATSC8dv,0.00330699645876235
ATSC1d,0.007905322151793804
ATSC2d,0.004015482911028547
ATSC3d,0.003253736331085736
ATSC4d,0.001966467751725656
ATSC7d,0.002091047984679096
ATSC0s,0.0034699359286445744
ATSC1s,0.004321840419885083
ATSC2s,0.008106129716593392
ATSC3s,0.0022233162735620167
ATSC4s,0.004482094927360078
ATSC5s,0.005512675252096169
ATSC6s,0.0014162301888595507
ATSC7s,0.0035855627660739725
ATSC8s,0.0030906926207959757
ATSC2Z,0.00581282015197704
ATSC3Z,0.00965917083291738
ATSC4Z,0.001392804512432556
ATSC5Z,0.008416463244754315
ATSC6Z,0.006831627100927532
ATSC7Z,0.0023711485973902844
ATSC8Z,0.001781681828610111
AATSC1dv,0.003962933503895603
AATSC2dv,0.006346264340647772
AATSC3dv,0.001438027908750438
AATSC4dv,0.008769980579416635
AATSC5dv,0.00634656556382798
AATSC6dv,0.004059598560114324
AATSC7dv,0.001029178367617908
AATSC8dv,0.0006395824716222603
AATSC0d,0.005989403747356119
AATSC1d,0.01121779907517006
AATSC5d,0.003665550486126222
AATSC0s,0.011576514254813534
AATSC5s,0.002335946395885139
AATSC6s,0.0009099902540608755
AATSC7s,0.0022459483314056913
AATSC8s,0.0018244654068342524
AATSC0Z,0.007276564513287723
AATSC1Z,0.0022278233190148747
AATSC2Z,0.0032375063759423357
AATSC3Z,0.004605069614624824
AATSC4Z,0.006299948802555989
AATSC5Z,0.0022930121357189184
AATSC6Z,0.002585765595002147
AATSC7Z,0.0063793227835963464
AATSC8Z,0.001097822826437392
MATS1c,0.0161024770207387
MATS2c,0.015395596668773746
MATS3c,0.013868190522794354
MATS4c,0.007838023168600394
MATS8c,0.0019540858483596294
MATS1dv,0.012437600944673508
MATS1d,0.0044447472478301095
MATS2d,0.005740360223208803
MATS3d,0.004366769010066441
MATS4d,0.012380276859957488
MATS6d,0.002740942150538294
MATS7d,0.0038586851895033216
MATS8d,0.007366800858918675
MATS1s,0.0018102820352912635
MATS3s,0.007531706715589581
MATS4s,0.002957815869775618
GATS1c,0.010247668615013222
GATS2c,0.006876728610164516
GATS5c,0.005420547493218364
GATS6c,0.007328746890457797
GATS7c,0.005602350998470843
GATS8c,0.0038186037084098653
GATS2dv,0.001380638158255758
GATS3dv,0.012171347810715237
GATS4dv,0.012160213964165808
GATS5dv,0.013567238056501191
GATS6dv,0.007907415932764693
GATS8dv,0.0037067017185456407
GATS1d,0.016223443240018502
GATS3d,0.005310676838039637
GATS4d,0.0028221957356950544
GATS1s,0.0018846378853251027
GATS2s,0.0055855657504713125
BCUTdv-1h,0.026187670112302892
BCUTdv-1l,0.005956987433388549
BCUTd-1h,0.0023523596755283312
BCUTd-1l,0.007989206900628567
BCUTs-1h,0.011773710107913107
BCUTs-1l,0.022052996409955835
BCUTZ-1l,0.003589775969111956
BCUTm-1l,0.00082580404673501
BalabanJ,0.002182106445030552
C1SP1,0.007949066664674109
C1SP2,0.004832526010784107
C1SP3,0.011409453778518912
C2SP3,0.009702712948122747
C3SP3,0.029144026170009798
C4SP3,0.0102939594052412
HybRatio,0.04096434680693755
Xch-4d,0.01783891138886451
Xch-5d,0.01840387360448033
Xch-6d,0.016539198346115315
Xch-7d,0.002889596331890656
Xc-3d,0.0016087003752989011
Xc-5d,0.012113947203874023
Xpc-4dv,0.003550713823624079
NdsCH,0.1015437710676578
NddC,0.0008559279482351607
NdssC,0.0587497894891334
NaasC,0.01579754452062314
NaaaC,0.013363184954273846
SssssC,0.009784590477000388
MAXsCH3,0.002234925013152456
MAXssCH2,0.0026007329215264534
MINsCH3,0.0035813738506725677
MINssCH2,0.008525769710143686
ETA_shape_p,0.004446719050159494
ETA_shape_y,0.027954893642917044
AETA_eta,0.004188600174143319
ETA_eta_B,0.003910566856345461
IC1,0.020614495002920404
IC2,0.018917173400318395
IC3,0.003552694943042712
TIC1,0.01333832996733016
SIC1,0.0041475536528206725
SIC2,0.005531433188020193
SIC3,0.007437201942528916
MIC0,0.005682646331480424
MIC2,0.010377897174380393
Kier1,0.0013160500237238172
Kier3,0.0012457838281976865
PEOE_VSA5,0.014821056806638998
PEOE_VSA7,0.017221090242400438
PEOE_VSA8,0.0018919274382947244
PEOE_VSA9,0.0008354716022453329
SMR_VSA4,0.005404089428292356
SMR_VSA9,0.002518101420110267
SlogP_VSA1,0.0009173250842127304
SlogP_VSA2,0.0018919821536565488
SlogP_VSA3,0.0009898347119862247
SlogP_VSA4,0.009937109733727731
SlogP_VSA7,0.00024999352414768305
EState_VSA2,0.006307920314248224
EState_VSA3,0.01278613476643918
EState_VSA4,0.012965417196255246
EState_VSA5,0.0019015985280884825
EState_VSA6,0.0031426013118138673
EState_VSA7,0.011987999126767306
EState_VSA8,0.0068414897403431246
EState_VSA9,0.003176670741276381
VSA_EState4,0.012604850194122616
VSA_EState5,0.0029211116142229803
VSA_EState7,0.02914928295036954
VSA_EState8,0.007228376948868347
MDEC-11,0.010471336743233844
MDEC-12,0.005904663934751325
MDEC-13,0.0036095550530754346
MDEC-22,0.008702821141695993
MDEC-33,0.0035332570279236323
AMID,0.008431671459092035
MID_h,0.0022743852104053614
AMID_C,0.0026702669732436876
n3Ring,0.005621531852394263
n4Ring,0.0010653643265538945
n5Ring,0.015275154054449293
n7Ring,0.0047274043227888635
n8Ring,0.000429453258571129
n5aRing,0.0020986701803576415
nARing,0.006352596048984828
n6ARing,0.008119102145218254
n8ARing,0.0003434528422721731
nFRing,0.009973150458792414
n7FRing,0.005093994014591204
n8FRing,0.0034807355175685687
n9FRing,0.005337162577758912
n10FRing,0.001292472903212195
nG12FRing,0.00460360941898836
nFaRing,0.008611869812601163
n10FaRing,0.0010282919979132151
nG12FaRing,0.008407134604939238
nFARing,0.0037947200424284363
n10FARing,0.003447523285927643
nG12FARing,0.004198372998881359
RotRatio,0.008107349769982522
GGI1,0.0023721457223320505
GGI2,0.015395237331554927
GGI3,0.003033029034235333
GGI4,0.0175271722112683
GGI5,0.0034665062020790083
GGI6,0.0018671295937738059
JGI1,0.0016965126004825847
TopoShapeIndex,0.002768333520417469
SRW05,0.001674745905040485
TSRW10,0.00963209353063694
mZagreb1,0.012611319133340319
